"LINEAGE","count","total","collection_date","collection_date_num","prop"
"Alpha",0,2,2020-02-06,18298,0
"Alpha",0,1,2020-02-13,18305,0
"Alpha",0,7,2020-02-27,18319,0
"Alpha",0,104,2020-03-05,18326,0
"Alpha",0,54,2020-03-12,18333,0
"Alpha",0,113,2020-03-19,18340,0
"Alpha",0,279,2020-03-26,18347,0
"Alpha",0,185,2020-04-02,18354,0
"Alpha",0,186,2020-04-09,18361,0
"Alpha",0,119,2020-04-16,18368,0
"Alpha",0,39,2020-04-23,18375,0
"Alpha",0,66,2020-04-30,18382,0
"Alpha",0,60,2020-05-07,18389,0
"Alpha",0,44,2020-05-14,18396,0
"Alpha",0,21,2020-05-21,18403,0
"Alpha",0,6,2020-05-28,18410,0
"Alpha",0,8,2020-06-04,18417,0
"Alpha",0,7,2020-06-11,18424,0
"Alpha",0,31,2020-06-18,18431,0
"Alpha",0,11,2020-06-25,18438,0
"Alpha",0,28,2020-07-02,18445,0
"Alpha",0,19,2020-07-09,18452,0
"Alpha",0,20,2020-07-16,18459,0
"Alpha",0,65,2020-07-23,18466,0
"Alpha",0,82,2020-07-30,18473,0
"Alpha",0,97,2020-08-06,18480,0
"Alpha",0,33,2020-08-13,18487,0
"Alpha",0,29,2020-08-20,18494,0
"Alpha",0,25,2020-08-27,18501,0
"Alpha",0,34,2020-09-03,18508,0
"Alpha",0,54,2020-09-10,18515,0
"Alpha",0,145,2020-09-17,18522,0
"Alpha",0,101,2020-09-24,18529,0
"Alpha",0,18,2020-10-01,18536,0
"Alpha",1,112,2020-10-08,18543,0.00892857142857143
"Alpha",0,103,2020-10-15,18550,0
"Alpha",3,246,2020-10-22,18557,0.0121951219512195
"Alpha",0,158,2020-10-29,18564,0
"Alpha",0,55,2020-11-05,18571,0
"Alpha",1,150,2020-11-12,18578,0.00666666666666667
"Alpha",2,97,2020-11-19,18585,0.0206185567010309
"Alpha",3,82,2020-11-26,18592,0.0365853658536585
"Alpha",3,66,2020-12-03,18599,0.0454545454545455
"Alpha",0,104,2020-12-10,18606,0
"Alpha",0,239,2020-12-17,18613,0
"Alpha",16,60,2020-12-24,18620,0.266666666666667
"Alpha",34,181,2020-12-31,18627,0.187845303867403
"Alpha",70,288,2021-01-07,18634,0.243055555555556
"Alpha",195,488,2021-01-14,18641,0.399590163934426
"Alpha",364,872,2021-01-21,18648,0.41743119266055
"Alpha",329,881,2021-01-28,18655,0.373439273552781
"Alpha",389,947,2021-02-04,18662,0.410770855332629
"Alpha",339,762,2021-02-11,18669,0.44488188976378
"Alpha",513,1030,2021-02-18,18676,0.498058252427184
"Alpha",675,1169,2021-02-25,18683,0.577416595380667
"Alpha",629,1050,2021-03-04,18690,0.599047619047619
"Alpha",1024,1416,2021-03-11,18697,0.72316384180791
"Alpha",1148,1503,2021-03-18,18704,0.763805721889554
"Alpha",1389,1699,2021-03-25,18711,0.817539729252502
"Alpha",1284,1591,2021-04-01,18718,0.807039597737272
"Alpha",1043,1289,2021-04-08,18725,0.809154383242824
"Alpha",1054,1299,2021-04-15,18732,0.81139337952271
"Alpha",1000,1292,2021-04-22,18739,0.773993808049536
"Alpha",1089,1308,2021-04-29,18746,0.832568807339449
"Alpha",1159,1425,2021-05-06,18753,0.813333333333333
"Alpha",1110,1430,2021-05-13,18760,0.776223776223776
"Alpha",1042,1356,2021-05-20,18767,0.768436578171091
"Alpha",765,979,2021-05-27,18774,0.781409601634321
"Alpha",680,879,2021-06-03,18781,0.773606370875995
"Alpha",405,608,2021-06-10,18788,0.666118421052632
"Alpha",281,448,2021-06-17,18795,0.627232142857143
"Alpha",118,227,2021-06-24,18802,0.519823788546256
"Alpha",48,275,2021-07-01,18809,0.174545454545455
"Alpha",66,809,2021-07-08,18816,0.0815822002472188
"Alpha",51,1150,2021-07-15,18823,0.0443478260869565
"Alpha",30,1325,2021-07-22,18830,0.0226415094339623
"Alpha",23,1638,2021-07-29,18837,0.014041514041514
"Alpha",16,2332,2021-08-05,18844,0.00686106346483705
"Alpha",4,2276,2021-08-12,18851,0.00175746924428822
"Alpha",6,2267,2021-08-19,18858,0.00264666960741068
"Alpha",6,2204,2021-08-26,18865,0.00272232304900181
"Alpha",0,2294,2021-09-02,18872,0
"Alpha",0,1614,2021-09-09,18879,0
"Alpha",1,1499,2021-09-16,18886,0.00066711140760507
"Alpha",0,1418,2021-09-23,18893,0
"Alpha",3,1508,2021-09-30,18900,0.0019893899204244
"Alpha",0,1583,2021-10-07,18907,0
"Alpha",0,1768,2021-10-14,18914,0
"Alpha",0,2136,2021-10-21,18921,0
"Alpha",0,1783,2021-10-28,18928,0
"Alpha",0,1392,2021-11-04,18935,0
"Alpha",1,1816,2021-11-11,18942,0.000550660792951542
"Alpha",0,2148,2021-11-18,18949,0
"Alpha",0,1618,2021-11-25,18956,0
"Alpha",0,1753,2021-12-02,18963,0
"Alpha",0,2366,2021-12-09,18970,0
"Alpha",0,1947,2021-12-16,18977,0
"Alpha",0,1375,2021-12-23,18984,0
"Alpha",1,1885,2021-12-30,18991,0.000530503978779841
"Alpha",0,2178,2022-01-06,18998,0
"Alpha",0,2305,2022-01-13,19005,0
"Alpha",0,2272,2022-01-20,19012,0
"Alpha",0,2143,2022-01-27,19019,0
"Alpha",0,2015,2022-02-03,19026,0
"Alpha",0,1732,2022-02-10,19033,0
"Alpha",0,1623,2022-02-17,19040,0
"Alpha",0,1352,2022-02-24,19047,0
"Alpha",0,1284,2022-03-03,19054,0
"Alpha",0,1555,2022-03-10,19061,0
"Alpha",0,1441,2022-03-17,19068,0
"Alpha",0,1335,2022-03-24,19075,0
"Alpha",0,1587,2022-03-31,19082,0
"Alpha",0,1217,2022-04-07,19089,0
"Alpha",0,1303,2022-04-14,19096,0
"Alpha",0,852,2022-04-21,19103,0
"Alpha",0,52,2022-04-28,19110,0
"Beta",0,2,2020-02-06,18298,0
"Beta",0,1,2020-02-13,18305,0
"Beta",0,7,2020-02-27,18319,0
"Beta",0,104,2020-03-05,18326,0
"Beta",0,54,2020-03-12,18333,0
"Beta",0,113,2020-03-19,18340,0
"Beta",0,279,2020-03-26,18347,0
"Beta",0,185,2020-04-02,18354,0
"Beta",0,186,2020-04-09,18361,0
"Beta",0,119,2020-04-16,18368,0
"Beta",0,39,2020-04-23,18375,0
"Beta",0,66,2020-04-30,18382,0
"Beta",0,60,2020-05-07,18389,0
"Beta",0,44,2020-05-14,18396,0
"Beta",0,21,2020-05-21,18403,0
"Beta",0,6,2020-05-28,18410,0
"Beta",0,8,2020-06-04,18417,0
"Beta",0,7,2020-06-11,18424,0
"Beta",0,31,2020-06-18,18431,0
"Beta",0,11,2020-06-25,18438,0
"Beta",0,28,2020-07-02,18445,0
"Beta",0,19,2020-07-09,18452,0
"Beta",0,20,2020-07-16,18459,0
"Beta",0,65,2020-07-23,18466,0
"Beta",0,82,2020-07-30,18473,0
"Beta",0,97,2020-08-06,18480,0
"Beta",0,33,2020-08-13,18487,0
"Beta",0,29,2020-08-20,18494,0
"Beta",0,25,2020-08-27,18501,0
"Beta",0,34,2020-09-03,18508,0
"Beta",0,54,2020-09-10,18515,0
"Beta",0,145,2020-09-17,18522,0
"Beta",0,101,2020-09-24,18529,0
"Beta",0,18,2020-10-01,18536,0
"Beta",0,112,2020-10-08,18543,0
"Beta",0,103,2020-10-15,18550,0
"Beta",0,246,2020-10-22,18557,0
"Beta",0,158,2020-10-29,18564,0
"Beta",0,55,2020-11-05,18571,0
"Beta",0,150,2020-11-12,18578,0
"Beta",0,97,2020-11-19,18585,0
"Beta",0,82,2020-11-26,18592,0
"Beta",0,66,2020-12-03,18599,0
"Beta",0,104,2020-12-10,18606,0
"Beta",2,239,2020-12-17,18613,0.00836820083682008
"Beta",0,60,2020-12-24,18620,0
"Beta",7,181,2020-12-31,18627,0.0386740331491713
"Beta",5,288,2021-01-07,18634,0.0173611111111111
"Beta",12,488,2021-01-14,18641,0.0245901639344262
"Beta",28,872,2021-01-21,18648,0.0321100917431193
"Beta",36,881,2021-01-28,18655,0.0408626560726447
"Beta",54,947,2021-02-04,18662,0.0570221752903907
"Beta",71,762,2021-02-11,18669,0.0931758530183727
"Beta",68,1030,2021-02-18,18676,0.0660194174757282
"Beta",103,1169,2021-02-25,18683,0.088109495295124
"Beta",133,1050,2021-03-04,18690,0.126666666666667
"Beta",109,1416,2021-03-11,18697,0.0769774011299435
"Beta",106,1503,2021-03-18,18704,0.0705256154357951
"Beta",59,1699,2021-03-25,18711,0.0347263095938788
"Beta",44,1591,2021-04-01,18718,0.0276555625392835
"Beta",34,1289,2021-04-08,18725,0.0263770364623739
"Beta",26,1299,2021-04-15,18732,0.0200153964588145
"Beta",32,1292,2021-04-22,18739,0.0247678018575851
"Beta",14,1308,2021-04-29,18746,0.0107033639143731
"Beta",24,1425,2021-05-06,18753,0.0168421052631579
"Beta",37,1430,2021-05-13,18760,0.0258741258741259
"Beta",8,1356,2021-05-20,18767,0.00589970501474926
"Beta",8,979,2021-05-27,18774,0.00817160367722165
"Beta",10,879,2021-06-03,18781,0.0113765642775882
"Beta",6,608,2021-06-10,18788,0.00986842105263158
"Beta",1,448,2021-06-17,18795,0.00223214285714286
"Beta",0,227,2021-06-24,18802,0
"Beta",2,275,2021-07-01,18809,0.00727272727272727
"Beta",0,809,2021-07-08,18816,0
"Beta",4,1150,2021-07-15,18823,0.00347826086956522
"Beta",2,1325,2021-07-22,18830,0.00150943396226415
"Beta",2,1638,2021-07-29,18837,0.00122100122100122
"Beta",0,2332,2021-08-05,18844,0
"Beta",0,2276,2021-08-12,18851,0
"Beta",0,2267,2021-08-19,18858,0
"Beta",0,2204,2021-08-26,18865,0
"Beta",0,2294,2021-09-02,18872,0
"Beta",0,1614,2021-09-09,18879,0
"Beta",0,1499,2021-09-16,18886,0
"Beta",0,1418,2021-09-23,18893,0
"Beta",0,1508,2021-09-30,18900,0
"Beta",0,1583,2021-10-07,18907,0
"Beta",0,1768,2021-10-14,18914,0
"Beta",0,2136,2021-10-21,18921,0
"Beta",0,1783,2021-10-28,18928,0
"Beta",0,1392,2021-11-04,18935,0
"Beta",0,1816,2021-11-11,18942,0
"Beta",0,2148,2021-11-18,18949,0
"Beta",0,1618,2021-11-25,18956,0
"Beta",0,1753,2021-12-02,18963,0
"Beta",0,2366,2021-12-09,18970,0
"Beta",0,1947,2021-12-16,18977,0
"Beta",0,1375,2021-12-23,18984,0
"Beta",0,1885,2021-12-30,18991,0
"Beta",0,2178,2022-01-06,18998,0
"Beta",0,2305,2022-01-13,19005,0
"Beta",0,2272,2022-01-20,19012,0
"Beta",0,2143,2022-01-27,19019,0
"Beta",0,2015,2022-02-03,19026,0
"Beta",0,1732,2022-02-10,19033,0
"Beta",0,1623,2022-02-17,19040,0
"Beta",0,1352,2022-02-24,19047,0
"Beta",0,1284,2022-03-03,19054,0
"Beta",0,1555,2022-03-10,19061,0
"Beta",0,1441,2022-03-17,19068,0
"Beta",0,1335,2022-03-24,19075,0
"Beta",0,1587,2022-03-31,19082,0
"Beta",0,1217,2022-04-07,19089,0
"Beta",0,1303,2022-04-14,19096,0
"Beta",0,852,2022-04-21,19103,0
"Beta",0,52,2022-04-28,19110,0
"Gamma",0,2,2020-02-06,18298,0
"Gamma",0,1,2020-02-13,18305,0
"Gamma",0,7,2020-02-27,18319,0
"Gamma",0,104,2020-03-05,18326,0
"Gamma",0,54,2020-03-12,18333,0
"Gamma",0,113,2020-03-19,18340,0
"Gamma",0,279,2020-03-26,18347,0
"Gamma",0,185,2020-04-02,18354,0
"Gamma",0,186,2020-04-09,18361,0
"Gamma",0,119,2020-04-16,18368,0
"Gamma",0,39,2020-04-23,18375,0
"Gamma",0,66,2020-04-30,18382,0
"Gamma",0,60,2020-05-07,18389,0
"Gamma",0,44,2020-05-14,18396,0
"Gamma",0,21,2020-05-21,18403,0
"Gamma",0,6,2020-05-28,18410,0
"Gamma",0,8,2020-06-04,18417,0
"Gamma",0,7,2020-06-11,18424,0
"Gamma",0,31,2020-06-18,18431,0
"Gamma",0,11,2020-06-25,18438,0
"Gamma",0,28,2020-07-02,18445,0
"Gamma",0,19,2020-07-09,18452,0
"Gamma",0,20,2020-07-16,18459,0
"Gamma",0,65,2020-07-23,18466,0
"Gamma",0,82,2020-07-30,18473,0
"Gamma",0,97,2020-08-06,18480,0
"Gamma",0,33,2020-08-13,18487,0
"Gamma",0,29,2020-08-20,18494,0
"Gamma",0,25,2020-08-27,18501,0
"Gamma",0,34,2020-09-03,18508,0
"Gamma",0,54,2020-09-10,18515,0
"Gamma",0,145,2020-09-17,18522,0
"Gamma",0,101,2020-09-24,18529,0
"Gamma",0,18,2020-10-01,18536,0
"Gamma",0,112,2020-10-08,18543,0
"Gamma",0,103,2020-10-15,18550,0
"Gamma",0,246,2020-10-22,18557,0
"Gamma",0,158,2020-10-29,18564,0
"Gamma",0,55,2020-11-05,18571,0
"Gamma",0,150,2020-11-12,18578,0
"Gamma",0,97,2020-11-19,18585,0
"Gamma",0,82,2020-11-26,18592,0
"Gamma",0,66,2020-12-03,18599,0
"Gamma",0,104,2020-12-10,18606,0
"Gamma",0,239,2020-12-17,18613,0
"Gamma",0,60,2020-12-24,18620,0
"Gamma",0,181,2020-12-31,18627,0
"Gamma",0,288,2021-01-07,18634,0
"Gamma",0,488,2021-01-14,18641,0
"Gamma",0,872,2021-01-21,18648,0
"Gamma",2,881,2021-01-28,18655,0.00227014755959137
"Gamma",5,947,2021-02-04,18662,0.00527983104540655
"Gamma",17,762,2021-02-11,18669,0.0223097112860892
"Gamma",28,1030,2021-02-18,18676,0.0271844660194175
"Gamma",40,1169,2021-02-25,18683,0.0342172797262618
"Gamma",41,1050,2021-03-04,18690,0.039047619047619
"Gamma",49,1416,2021-03-11,18697,0.0346045197740113
"Gamma",89,1503,2021-03-18,18704,0.0592149035262808
"Gamma",89,1699,2021-03-25,18711,0.0523837551500883
"Gamma",115,1591,2021-04-01,18718,0.0722815839094909
"Gamma",131,1289,2021-04-08,18725,0.101629169899147
"Gamma",124,1299,2021-04-15,18732,0.0954580446497306
"Gamma",121,1292,2021-04-22,18739,0.0936532507739938
"Gamma",86,1308,2021-04-29,18746,0.0657492354740061
"Gamma",142,1425,2021-05-06,18753,0.0996491228070175
"Gamma",158,1430,2021-05-13,18760,0.11048951048951
"Gamma",153,1356,2021-05-20,18767,0.11283185840708
"Gamma",104,979,2021-05-27,18774,0.106230847803882
"Gamma",91,879,2021-06-03,18781,0.103526734926052
"Gamma",65,608,2021-06-10,18788,0.106907894736842
"Gamma",29,448,2021-06-17,18795,0.0647321428571429
"Gamma",2,227,2021-06-24,18802,0.00881057268722467
"Gamma",0,275,2021-07-01,18809,0
"Gamma",14,809,2021-07-08,18816,0.0173053152039555
"Gamma",10,1150,2021-07-15,18823,0.00869565217391304
"Gamma",4,1325,2021-07-22,18830,0.0030188679245283
"Gamma",4,1638,2021-07-29,18837,0.00244200244200244
"Gamma",6,2332,2021-08-05,18844,0.00257289879931389
"Gamma",4,2276,2021-08-12,18851,0.00175746924428822
"Gamma",0,2267,2021-08-19,18858,0
"Gamma",0,2204,2021-08-26,18865,0
"Gamma",0,2294,2021-09-02,18872,0
"Gamma",1,1614,2021-09-09,18879,0.000619578686493185
"Gamma",0,1499,2021-09-16,18886,0
"Gamma",0,1418,2021-09-23,18893,0
"Gamma",0,1508,2021-09-30,18900,0
"Gamma",0,1583,2021-10-07,18907,0
