"country","variant","count","total","collection_date","collection_date_num","DATE_NUM","prop","continent"
"Australia","Alpha",0,20,2020-06-01,18414,18414,0,"Oceania"
"Australia","Alpha",0,76,2020-06-08,18421,18421,0,"Oceania"
"Australia","Alpha",0,102,2020-06-15,18428,18428,0,"Oceania"
"Australia","Alpha",0,285,2020-06-22,18435,18435,0,"Oceania"
"Australia","Alpha",0,545,2020-06-29,18442,18442,0,"Oceania"
"Australia","Alpha",0,1061,2020-07-06,18449,18449,0,"Oceania"
"Australia","Alpha",0,1745,2020-07-13,18456,18456,0,"Oceania"
"Australia","Alpha",0,2101,2020-07-20,18463,18463,0,"Oceania"
"Australia","Alpha",0,2231,2020-07-27,18470,18470,0,"Oceania"
"Australia","Alpha",0,1719,2020-08-03,18477,18477,0,"Oceania"
"Australia","Alpha",0,1193,2020-08-10,18484,18484,0,"Oceania"
"Australia","Alpha",0,1196,2020-08-17,18491,18491,0,"Oceania"
"Australia","Alpha",0,700,2020-08-24,18498,18498,0,"Oceania"
"Australia","Alpha",0,454,2020-08-31,18505,18505,0,"Oceania"
"Australia","Alpha",0,282,2020-09-07,18512,18512,0,"Oceania"
"Australia","Alpha",0,208,2020-09-14,18519,18519,0,"Oceania"
"Australia","Alpha",0,98,2020-09-21,18526,18526,0,"Oceania"
"Australia","Alpha",0,70,2020-09-28,18533,18533,0,"Oceania"
"Australia","Alpha",0,102,2020-10-05,18540,18540,0,"Oceania"
"Australia","Alpha",0,67,2020-10-12,18547,18547,0,"Oceania"
"Australia","Alpha",0,60,2020-10-19,18554,18554,0,"Oceania"
"Australia","Alpha",0,35,2020-10-26,18561,18561,0,"Oceania"
"Australia","Alpha",0,28,2020-11-02,18568,18568,0,"Oceania"
"Australia","Alpha",0,25,2020-11-09,18575,18575,0,"Oceania"
"Australia","Alpha",0,38,2020-11-16,18582,18582,0,"Oceania"
"Australia","Alpha",0,20,2020-11-23,18589,18589,0,"Oceania"
"Australia","Alpha",1,27,2020-11-30,18596,18596,0.037037037037037,"Oceania"
"Australia","Alpha",5,30,2020-12-07,18603,18603,0.166666666666667,"Oceania"
"Australia","Alpha",1,113,2020-12-14,18610,18610,0.00884955752212389,"Oceania"
"Australia","Alpha",10,69,2020-12-21,18617,18617,0.144927536231884,"Oceania"
"Australia","Alpha",8,136,2020-12-28,18624,18624,0.0588235294117647,"Oceania"
"Australia","Alpha",19,71,2021-01-04,18631,18631,0.267605633802817,"Oceania"
"Australia","Alpha",20,55,2021-01-11,18638,18638,0.363636363636364,"Oceania"
"Australia","Alpha",21,42,2021-01-18,18645,18645,0.5,"Oceania"
"Australia","Alpha",10,23,2021-01-25,18652,18652,0.434782608695652,"Oceania"
"Australia","Alpha",10,27,2021-02-01,18659,18659,0.37037037037037,"Oceania"
"Australia","Alpha",43,52,2021-02-08,18666,18666,0.826923076923077,"Oceania"
"Australia","Alpha",18,26,2021-02-15,18673,18673,0.692307692307692,"Oceania"
"Australia","Alpha",11,30,2021-02-22,18680,18680,0.366666666666667,"Oceania"
"Australia","Alpha",20,41,2021-03-01,18687,18687,0.48780487804878,"Oceania"
"Australia","Alpha",36,66,2021-03-08,18694,18694,0.545454545454545,"Oceania"
"Australia","Alpha",25,56,2021-03-15,18701,18701,0.446428571428571,"Oceania"
"Australia","Alpha",28,57,2021-03-22,18708,18708,0.491228070175439,"Oceania"
"Australia","Alpha",38,66,2021-03-29,18715,18715,0.575757575757576,"Oceania"
"Australia","Alpha",24,47,2021-04-05,18722,18722,0.51063829787234,"Oceania"
"Australia","Alpha",49,110,2021-04-12,18729,18729,0.445454545454545,"Oceania"
"Australia","Alpha",40,129,2021-04-19,18736,18736,0.310077519379845,"Oceania"
"Australia","Alpha",25,78,2021-04-26,18743,18743,0.320512820512821,"Oceania"
"Australia","Alpha",24,73,2021-05-03,18750,18750,0.328767123287671,"Oceania"
"Australia","Alpha",19,42,2021-05-10,18757,18757,0.452380952380952,"Oceania"
"Australia","Alpha",4,20,2021-05-17,18764,18764,0.2,"Oceania"
"Australia","Alpha",6,85,2021-05-24,18771,18771,0.0705882352941176,"Oceania"
"Australia","Alpha",13,69,2021-05-31,18778,18778,0.188405797101449,"Oceania"
"Australia","Alpha",9,69,2021-06-07,18785,18785,0.130434782608696,"Oceania"
"Australia","Alpha",8,67,2021-06-14,18792,18792,0.119402985074627,"Oceania"
"Australia","Alpha",12,187,2021-06-21,18799,18799,0.0641711229946524,"Oceania"
"Australia","Alpha",20,284,2021-06-28,18806,18806,0.0704225352112676,"Oceania"
"Australia","Alpha",6,484,2021-07-05,18813,18813,0.012396694214876,"Oceania"
"Australia","Alpha",2,770,2021-07-12,18820,18820,0.0025974025974026,"Oceania"
"Australia","Alpha",2,973,2021-07-19,18827,18827,0.00205549845837616,"Oceania"
"Australia","Alpha",2,1324,2021-07-26,18834,18834,0.00151057401812689,"Oceania"
"Australia","Alpha",1,1426,2021-08-02,18841,18841,0.000701262272089762,"Oceania"
"Australia","Alpha",2,1438,2021-08-09,18848,18848,0.00139082058414465,"Oceania"
"Australia","Alpha",1,1780,2021-08-16,18855,18855,0.000561797752808989,"Oceania"
"Australia","Alpha",1,1544,2021-08-23,18862,18862,0.000647668393782383,"Oceania"
"Australia","Alpha",0,2268,2021-08-30,18869,18869,0,"Oceania"
"Australia","Alpha",0,2780,2021-09-06,18876,18876,0,"Oceania"
"Australia","Alpha",0,1236,2021-09-13,18883,18883,0,"Oceania"
"Australia","Alpha",0,927,2021-09-20,18890,18890,0,"Oceania"
"Australia","Alpha",0,1462,2021-09-27,18897,18897,0,"Oceania"
"Australia","Alpha",0,1242,2021-10-04,18904,18904,0,"Oceania"
"Australia","Alpha",0,1293,2021-10-11,18911,18911,0,"Oceania"
"Australia","Alpha",0,1134,2021-10-18,18918,18918,0,"Oceania"
"Australia","Alpha",0,820,2021-10-25,18925,18925,0,"Oceania"
"Australia","Alpha",0,1002,2021-11-01,18932,18932,0,"Oceania"
"Australia","Alpha",0,1197,2021-11-08,18939,18939,0,"Oceania"
"Australia","Alpha",0,965,2021-11-15,18946,18946,0,"Oceania"
"Australia","Alpha",0,1163,2021-11-22,18953,18953,0,"Oceania"
"Australia","Alpha",0,1517,2021-11-29,18960,18960,0,"Oceania"
"Australia","Alpha",0,2179,2021-12-06,18967,18967,0,"Oceania"
"Australia","Alpha",0,2297,2021-12-13,18974,18974,0,"Oceania"
"Australia","Alpha",0,4036,2021-12-20,18981,18981,0,"Oceania"
"Australia","Alpha",0,3292,2021-12-27,18988,18988,0,"Oceania"
"Australia","Alpha",0,3822,2022-01-03,18995,18995,0,"Oceania"
"Australia","Alpha",0,2773,2022-01-10,19002,19002,0,"Oceania"
"Australia","Alpha",0,2162,2022-01-17,19009,19009,0,"Oceania"
"Australia","Alpha",0,1937,2022-01-24,19016,19016,0,"Oceania"
"Australia","Alpha",0,2002,2022-01-31,19023,19023,0,"Oceania"
"Australia","Alpha",0,2746,2022-02-07,19030,19030,0,"Oceania"
"Australia","Alpha",0,1721,2022-02-14,19037,19037,0,"Oceania"
"Australia","Alpha",0,1729,2022-02-21,19044,19044,0,"Oceania"
"Australia","Alpha",0,2140,2022-02-28,19051,19051,0,"Oceania"
"Australia","Alpha",0,2302,2022-03-07,19058,19058,0,"Oceania"
"Australia","Alpha",0,3084,2022-03-14,19065,19065,0,"Oceania"
"Australia","Alpha",0,3718,2022-03-21,19072,19072,0,"Oceania"
"Australia","Alpha",0,3562,2022-03-28,19079,19079,0,"Oceania"
"Australia","Alpha",0,2560,2022-04-04,19086,19086,0,"Oceania"
"Australia","Alpha",0,2535,2022-04-11,19093,19093,0,"Oceania"
"Australia","Alpha",0,2805,2022-04-18,19100,19100,0,"Oceania"
"Australia","Alpha",0,2625,2022-04-25,19107,19107,0,"Oceania"
"Australia","Alpha",0,2688,2022-05-02,19114,19114,0,"Oceania"
"Australia","Alpha",0,3031,2022-05-09,19121,19121,0,"Oceania"
"Australia","Alpha",0,2619,2022-05-16,19128,19128,0,"Oceania"
"Australia","Alpha",0,2710,2022-05-23,19135,19135,0,"Oceania"
"Australia","Alpha",0,2941,2022-05-30,19142,19142,0,"Oceania"
"Australia","Alpha",0,2395,2022-06-06,19149,19149,0,"Oceania"
"Australia","Alpha",0,2022,2022-06-13,19156,19156,0,"Oceania"
"Australia","Alpha",0,2281,2022-06-20,19163,19163,0,"Oceania"
"Australia","Alpha",0,2671,2022-06-27,19170,19170,0,"Oceania"
"Australia","Alpha",0,2485,2022-07-04,19177,19177,0,"Oceania"
"Australia","Alpha",0,2058,2022-07-11,19184,19184,0,"Oceania"
"Australia","Alpha",0,1585,2022-07-18,19191,19191,0,"Oceania"
"Australia","Alpha",0,712,2022-07-25,19198,19198,0,"Oceania"
"Australia","Alpha",0,14,2022-08-01,19205,19205,0,"Oceania"
"Austria","Alpha",0,7,2020-06-01,18414,18414,0,"Europe"
"Austria","Alpha",0,3,2020-06-08,18421,18421,0,"Europe"
"Austria","Alpha",0,4,2020-06-15,18428,18428,0,"Europe"
"Austria","Alpha",0,2,2020-06-29,18442,18442,0,"Europe"
"Austria","Alpha",0,4,2020-07-06,18449,18449,0,"Europe"
"Austria","Alpha",0,10,2020-07-13,18456,18456,0,"Europe"
"Austria","Alpha",0,8,2020-07-20,18463,18463,0,"Europe"
"Austria","Alpha",0,3,2020-07-27,18470,18470,0,"Europe"
"Austria","Alpha",0,10,2020-08-03,18477,18477,0,"Europe"
"Austria","Alpha",0,12,2020-08-10,18484,18484,0,"Europe"
"Austria","Alpha",0,15,2020-08-17,18491,18491,0,"Europe"
"Austria","Alpha",0,29,2020-08-24,18498,18498,0,"Europe"
"Austria","Alpha",0,18,2020-08-31,18505,18505,0,"Europe"
"Austria","Alpha",0,19,2020-09-07,18512,18512,0,"Europe"
"Austria","Alpha",0,17,2020-09-14,18519,18519,0,"Europe"
"Austria","Alpha",0,21,2020-09-21,18526,18526,0,"Europe"
"Austria","Alpha",0,5,2020-09-28,18533,18533,0,"Europe"
"Austria","Alpha",0,26,2020-10-05,18540,18540,0,"Europe"
"Austria","Alpha",0,37,2020-10-12,18547,18547,0,"Europe"
"Austria","Alpha",0,37,2020-10-19,18554,18554,0,"Europe"
"Austria","Alpha",0,58,2020-10-26,18561,18561,0,"Europe"
"Austria","Alpha",0,126,2020-11-02,18568,18568,0,"Europe"
"Austria","Alpha",0,155,2020-11-09,18575,18575,0,"Europe"
"Austria","Alpha",0,29,2020-11-16,18582,18582,0,"Europe"
"Austria","Alpha",3,97,2020-11-23,18589,18589,0.0309278350515464,"Europe"
"Austria","Alpha",0,38,2020-11-30,18596,18596,0,"Europe"
"Austria","Alpha",0,9,2020-12-07,18603,18603,0,"Europe"
"Austria","Alpha",2,47,2020-12-14,18610,18610,0.0425531914893617,"Europe"
"Austria","Alpha",2,81,2020-12-21,18617,18617,0.0246913580246914,"Europe"
"Austria","Alpha",16,294,2020-12-28,18624,18624,0.054421768707483,"Europe"
"Austria","Alpha",56,213,2021-01-04,18631,18631,0.262910798122066,"Europe"
"Austria","Alpha",84,196,2021-01-11,18638,18638,0.428571428571429,"Europe"
"Austria","Alpha",16,192,2021-01-18,18645,18645,0.0833333333333333,"Europe"
"Austria","Alpha",48,255,2021-01-25,18652,18652,0.188235294117647,"Europe"
"Austria","Alpha",26,183,2021-02-01,18659,18659,0.14207650273224,"Europe"
"Austria","Alpha",175,297,2021-02-08,18666,18666,0.589225589225589,"Europe"
"Austria","Alpha",92,176,2021-02-15,18673,18673,0.522727272727273,"Europe"
"Austria","Alpha",165,257,2021-02-22,18680,18680,0.642023346303502,"Europe"
"Austria","Alpha",161,265,2021-03-01,18687,18687,0.607547169811321,"Europe"
"Austria","Alpha",283,422,2021-03-08,18694,18694,0.670616113744076,"Europe"
"Austria","Alpha",200,259,2021-03-15,18701,18701,0.772200772200772,"Europe"
"Austria","Alpha",187,226,2021-03-22,18708,18708,0.827433628318584,"Europe"
"Austria","Alpha",91,121,2021-03-29,18715,18715,0.752066115702479,"Europe"
"Austria","Alpha",113,138,2021-04-05,18722,18722,0.818840579710145,"Europe"
"Austria","Alpha",96,136,2021-04-12,18729,18729,0.705882352941177,"Europe"
"Austria","Alpha",105,151,2021-04-19,18736,18736,0.695364238410596,"Europe"
"Austria","Alpha",108,151,2021-04-26,18743,18743,0.71523178807947,"Europe"
"Austria","Alpha",123,137,2021-05-03,18750,18750,0.897810218978102,"Europe"
"Austria","Alpha",340,409,2021-05-10,18757,18757,0.831295843520782,"Europe"
"Austria","Alpha",171,226,2021-05-17,18764,18764,0.756637168141593,"Europe"
"Austria","Alpha",103,131,2021-05-24,18771,18771,0.786259541984733,"Europe"
"Austria","Alpha",44,122,2021-05-31,18778,18778,0.360655737704918,"Europe"
"Austria","Alpha",127,368,2021-06-07,18785,18785,0.345108695652174,"Europe"
"Austria","Alpha",231,601,2021-06-14,18792,18792,0.384359400998336,"Europe"
"Austria","Alpha",47,350,2021-06-21,18799,18799,0.134285714285714,"Europe"
"Austria","Alpha",42,401,2021-06-28,18806,18806,0.104738154613466,"Europe"
"Austria","Alpha",12,542,2021-07-05,18813,18813,0.022140221402214,"Europe"
"Austria","Alpha",5,1025,2021-07-12,18820,18820,0.0048780487804878,"Europe"
"Austria","Alpha",3,1292,2021-07-19,18827,18827,0.00232198142414861,"Europe"
"Austria","Alpha",3,1331,2021-07-26,18834,18834,0.00225394440270473,"Europe"
"Austria","Alpha",0,1476,2021-08-02,18841,18841,0,"Europe"
"Austria","Alpha",0,1887,2021-08-09,18848,18848,0,"Europe"
"Austria","Alpha",0,1196,2021-08-16,18855,18855,0,"Europe"
"Austria","Alpha",0,2725,2021-08-23,18862,18862,0,"Europe"
"Austria","Alpha",0,1921,2021-08-30,18869,18869,0,"Europe"
"Austria","Alpha",0,1509,2021-09-06,18876,18876,0,"Europe"
"Austria","Alpha",0,1123,2021-09-13,18883,18883,0,"Europe"
"Austria","Alpha",0,795,2021-09-20,18890,18890,0,"Europe"
"Austria","Alpha",0,1584,2021-09-27,18897,18897,0,"Europe"
"Austria","Alpha",0,1040,2021-10-04,18904,18904,0,"Europe"
"Austria","Alpha",0,1500,2021-10-11,18911,18911,0,"Europe"
"Austria","Alpha",0,2076,2021-10-18,18918,18918,0,"Europe"
"Austria","Alpha",0,1015,2021-10-25,18925,18925,0,"Europe"
"Austria","Alpha",0,604,2021-11-01,18932,18932,0,"Europe"
"Austria","Alpha",0,855,2021-11-08,18939,18939,0,"Europe"
"Austria","Alpha",0,963,2021-11-15,18946,18946,0,"Europe"
"Austria","Alpha",0,562,2021-11-22,18953,18953,0,"Europe"
"Austria","Alpha",0,1318,2021-11-29,18960,18960,0,"Europe"
"Austria","Alpha",0,786,2021-12-06,18967,18967,0,"Europe"
"Austria","Alpha",0,418,2021-12-13,18974,18974,0,"Europe"
"Austria","Alpha",0,479,2021-12-20,18981,18981,0,"Europe"
"Austria","Alpha",0,767,2021-12-27,18988,18988,0,"Europe"
"Austria","Alpha",0,866,2022-01-03,18995,18995,0,"Europe"
"Austria","Alpha",0,576,2022-01-10,19002,19002,0,"Europe"
"Austria","Alpha",0,564,2022-01-17,19009,19009,0,"Europe"
"Austria","Alpha",0,427,2022-01-24,19016,19016,0,"Europe"
"Austria","Alpha",0,1072,2022-01-31,19023,19023,0,"Europe"
"Austria","Alpha",0,670,2022-02-07,19030,19030,0,"Europe"
"Austria","Alpha",0,613,2022-02-14,19037,19037,0,"Europe"
"Austria","Alpha",0,543,2022-02-21,19044,19044,0,"Europe"
"Austria","Alpha",0,750,2022-02-28,19051,19051,0,"Europe"
"Austria","Alpha",0,470,2022-03-07,19058,19058,0,"Europe"
"Austria","Alpha",0,632,2022-03-14,19065,19065,0,"Europe"
"Austria","Alpha",0,721,2022-03-21,19072,19072,0,"Europe"
"Austria","Alpha",0,403,2022-03-28,19079,19079,0,"Europe"
"Austria","Alpha",0,537,2022-04-04,19086,19086,0,"Europe"
"Austria","Alpha",0,324,2022-04-11,19093,19093,0,"Europe"
"Austria","Alpha",0,404,2022-04-18,19100,19100,0,"Europe"
"Austria","Alpha",0,433,2022-04-25,19107,19107,0,"Europe"
"Austria","Alpha",0,500,2022-05-02,19114,19114,0,"Europe"
"Austria","Alpha",0,527,2022-05-09,19121,19121,0,"Europe"
"Austria","Alpha",0,523,2022-05-16,19128,19128,0,"Europe"
"Austria","Alpha",0,791,2022-05-23,19135,19135,0,"Europe"
"Austria","Alpha",0,597,2022-05-30,19142,19142,0,"Europe"
"Austria","Alpha",0,514,2022-06-06,19149,19149,0,"Europe"
"Austria","Alpha",0,676,2022-06-13,19156,19156,0,"Europe"
"Austria","Alpha",0,477,2022-06-20,19163,19163,0,"Europe"
"Austria","Alpha",0,377,2022-06-27,19170,19170,0,"Europe"
"Austria","Alpha",0,364,2022-07-04,19177,19177,0,"Europe"
"Austria","Alpha",0,429,2022-07-11,19184,19184,0,"Europe"
"Austria","Alpha",0,399,2022-07-18,19191,19191,0,"Europe"
"Austria","Alpha",0,377,2022-07-25,19198,19198,0,"Europe"
"Cambodia","Alpha",0,1,2020-10-26,18561,18561,0,"Asia"
"Cambodia","Alpha",0,1,2020-11-02,18568,18568,0,"Asia"
"Cambodia","Alpha",0,3,2020-11-09,18575,18575,0,"Asia"
"Cambodia","Alpha",0,1,2020-11-16,18582,18582,0,"Asia"
"Cambodia","Alpha",0,7,2020-11-23,18589,18589,0,"Asia"
"Cambodia","Alpha",0,8,2020-11-30,18596,18596,0,"Asia"
"Cambodia","Alpha",0,1,2020-12-14,18610,18610,0,"Asia"
"Cambodia","Alpha",0,5,2020-12-28,18624,18624,0,"Asia"
"Cambodia","Alpha",0,2,2021-01-18,18645,18645,0,"Asia"
"Cambodia","Alpha",3,3,2021-02-01,18659,18659,1,"Asia"
"Cambodia","Alpha",10,12,2021-02-15,18673,18673,0.833333333333333,"Asia"
"Cambodia","Alpha",8,8,2021-02-22,18680,18680,1,"Asia"
"Cambodia","Alpha",6,6,2021-03-01,18687,18687,1,"Asia"
"Cambodia","Alpha",12,12,2021-03-08,18694,18694,1,"Asia"
"Cambodia","Alpha",1,1,2021-03-15,18701,18701,1,"Asia"
"Cambodia","Alpha",1,3,2021-03-29,18715,18715,0.333333333333333,"Asia"
"Cambodia","Alpha",14,17,2021-04-05,18722,18722,0.823529411764706,"Asia"
"Cambodia","Alpha",18,22,2021-04-12,18729,18729,0.818181818181818,"Asia"
"Cambodia","Alpha",28,28,2021-04-19,18736,18736,1,"Asia"
"Cambodia","Alpha",28,28,2021-04-26,18743,18743,1,"Asia"
"Cambodia","Alpha",24,24,2021-05-03,18750,18750,1,"Asia"
"Cambodia","Alpha",28,28,2021-05-10,18757,18757,1,"Asia"
"Cambodia","Alpha",42,43,2021-05-17,18764,18764,0.976744186046512,"Asia"
"Cambodia","Alpha",20,26,2021-05-24,18771,18771,0.769230769230769,"Asia"
"Cambodia","Alpha",38,48,2021-05-31,18778,18778,0.791666666666667,"Asia"
"Cambodia","Alpha",20,28,2021-06-07,18785,18785,0.714285714285714,"Asia"
"Cambodia","Alpha",27,38,2021-06-14,18792,18792,0.710526315789474,"Asia"
"Cambodia","Alpha",40,56,2021-06-21,18799,18799,0.714285714285714,"Asia"
"Cambodia","Alpha",30,43,2021-06-28,18806,18806,0.697674418604651,"Asia"
"Cambodia","Alpha",19,38,2021-07-05,18813,18813,0.5,"Asia"
"Cambodia","Alpha",37,56,2021-07-12,18820,18820,0.660714285714286,"Asia"
"Cambodia","Alpha",33,65,2021-07-19,18827,18827,0.507692307692308,"Asia"
"Cambodia","Alpha",21,54,2021-07-26,18834,18834,0.388888888888889,"Asia"
"Cambodia","Alpha",22,33,2021-08-02,18841,18841,0.666666666666667,"Asia"
"Cambodia","Alpha",46,65,2021-08-09,18848,18848,0.707692307692308,"Asia"
"Cambodia","Alpha",25,41,2021-08-16,18855,18855,0.609756097560976,"Asia"
"Cambodia","Alpha",32,53,2021-08-23,18862,18862,0.60377358490566,"Asia"
"Cambodia","Alpha",24,43,2021-08-30,18869,18869,0.558139534883721,"Asia"
"Cambodia","Alpha",39,69,2021-09-06,18876,18876,0.565217391304348,"Asia"
"Cambodia","Alpha",36,63,2021-09-13,18883,18883,0.571428571428571,"Asia"
"Cambodia","Alpha",25,64,2021-09-20,18890,18890,0.390625,"Asia"
"Cambodia","Alpha",14,43,2021-09-27,18897,18897,0.325581395348837,"Asia"
"Cambodia","Alpha",16,58,2021-10-04,18904,18904,0.275862068965517,"Asia"
"Cambodia","Alpha",13,77,2021-10-11,18911,18911,0.168831168831169,"Asia"
"Cambodia","Alpha",5,77,2021-10-18,18918,18918,0.0649350649350649,"Asia"
"Cambodia","Alpha",1,58,2021-10-25,18925,18925,0.0172413793103448,"Asia"
"Cambodia","Alpha",0,70,2021-11-01,18932,18932,0,"Asia"
"Cambodia","Alpha",0,73,2021-11-08,18939,18939,0,"Asia"
"Cambodia","Alpha",0,64,2021-11-15,18946,18946,0,"Asia"
"Cambodia","Alpha",0,85,2021-11-22,18953,18953,0,"Asia"
"Cambodia","Alpha",1,70,2021-11-29,18960,18960,0.0142857142857143,"Asia"
"Cambodia","Alpha",0,60,2021-12-06,18967,18967,0,"Asia"
"Cambodia","Alpha",0,51,2021-12-13,18974,18974,0,"Asia"
"Cambodia","Alpha",0,53,2021-12-20,18981,18981,0,"Asia"
"Cambodia","Alpha",0,53,2021-12-27,18988,18988,0,"Asia"
"Cambodia","Alpha",0,95,2022-01-03,18995,18995,0,"Asia"
"Cambodia","Alpha",0,66,2022-01-10,19002,19002,0,"Asia"
"Cambodia","Alpha",0,76,2022-01-17,19009,19009,0,"Asia"
"Cambodia","Alpha",0,67,2022-01-24,19016,19016,0,"Asia"
"Cambodia","Alpha",0,128,2022-01-31,19023,19023,0,"Asia"
"Cambodia","Alpha",0,96,2022-02-07,19030,19030,0,"Asia"
"Cambodia","Alpha",0,81,2022-02-14,19037,19037,0,"Asia"
"Cambodia","Alpha",0,116,2022-02-21,19044,19044,0,"Asia"
"Cambodia","Alpha",0,80,2022-02-28,19051,19051,0,"Asia"
"Cambodia","Alpha",0,74,2022-03-07,19058,19058,0,"Asia"
"Cambodia","Alpha",0,37,2022-03-14,19065,19065,0,"Asia"
"Cambodia","Alpha",0,25,2022-03-21,19072,19072,0,"Asia"
"Cambodia","Alpha",0,34,2022-03-28,19079,19079,0,"Asia"
"Cambodia","Alpha",0,29,2022-04-04,19086,19086,0,"Asia"
"Cambodia","Alpha",0,30,2022-04-11,19093,19093,0,"Asia"
"Cambodia","Alpha",0,28,2022-04-18,19100,19100,0,"Asia"
"Cambodia","Alpha",0,14,2022-04-25,19107,19107,0,"Asia"
"Cambodia","Alpha",0,10,2022-05-02,19114,19114,0,"Asia"
"Cambodia","Alpha",0,7,2022-05-09,19121,19121,0,"Asia"
"Cambodia","Alpha",0,7,2022-05-16,19128,19128,0,"Asia"
"Cambodia","Alpha",0,7,2022-05-23,19135,19135,0,"Asia"
"Cambodia","Alpha",0,7,2022-05-30,19142,19142,0,"Asia"
"Cambodia","Alpha",0,4,2022-06-06,19149,19149,0,"Asia"
"Cambodia","Alpha",0,6,2022-06-13,19156,19156,0,"Asia"
"Cambodia","Alpha",0,20,2022-06-20,19163,19163,0,"Asia"
"Cambodia","Alpha",0,22,2022-06-27,19170,19170,0,"Asia"
"Cambodia","Alpha",0,18,2022-07-04,19177,19177,0,"Asia"
"Cambodia","Alpha",0,29,2022-07-11,19184,19184,0,"Asia"
"Cambodia","Alpha",0,42,2022-07-18,19191,19191,0,"Asia"
"Cambodia","Alpha",0,15,2022-07-25,19198,19198,0,"Asia"
"Canada","Alpha",0,73,2020-06-01,18414,18414,0,"North America"
"Canada","Alpha",0,98,2020-06-08,18421,18421,0,"North America"
"Canada","Alpha",0,106,2020-06-15,18428,18428,0,"North America"
"Canada","Alpha",0,56,2020-06-22,18435,18435,0,"North America"
"Canada","Alpha",0,56,2020-06-29,18442,18442,0,"North America"
"Canada","Alpha",0,85,2020-07-06,18449,18449,0,"North America"
"Canada","Alpha",0,125,2020-07-13,18456,18456,0,"North America"
"Canada","Alpha",0,146,2020-07-20,18463,18463,0,"North America"
"Canada","Alpha",0,154,2020-07-27,18470,18470,0,"North America"
"Canada","Alpha",0,288,2020-08-03,18477,18477,0,"North America"
"Canada","Alpha",0,302,2020-08-10,18484,18484,0,"North America"
"Canada","Alpha",0,327,2020-08-17,18491,18491,0,"North America"
"Canada","Alpha",0,419,2020-08-24,18498,18498,0,"North America"
"Canada","Alpha",0,420,2020-08-31,18505,18505,0,"North America"
"Canada","Alpha",0,335,2020-09-07,18512,18512,0,"North America"
"Canada","Alpha",0,404,2020-09-14,18519,18519,0,"North America"
"Canada","Alpha",0,438,2020-09-21,18526,18526,0,"North America"
"Canada","Alpha",0,513,2020-09-28,18533,18533,0,"North America"
"Canada","Alpha",0,623,2020-10-05,18540,18540,0,"North America"
"Canada","Alpha",0,677,2020-10-12,18547,18547,0,"North America"
"Canada","Alpha",0,540,2020-10-19,18554,18554,0,"North America"
"Canada","Alpha",0,737,2020-10-26,18561,18561,0,"North America"
"Canada","Alpha",1,1235,2020-11-02,18568,18568,0.000809716599190283,"North America"
"Canada","Alpha",0,1443,2020-11-09,18575,18575,0,"North America"
"Canada","Alpha",0,889,2020-11-16,18582,18582,0,"North America"
"Canada","Alpha",0,1685,2020-11-23,18589,18589,0,"North America"
"Canada","Alpha",0,971,2020-11-30,18596,18596,0,"North America"
"Canada","Alpha",1,1290,2020-12-07,18603,18603,0.000775193798449612,"North America"
"Canada","Alpha",4,1508,2020-12-14,18610,18610,0.0026525198938992,"North America"
"Canada","Alpha",2,1191,2020-12-21,18617,18617,0.00167926112510495,"North America"
"Canada","Alpha",7,1658,2020-12-28,18624,18624,0.00422195416164053,"North America"
"Canada","Alpha",13,2194,2021-01-04,18631,18631,0.00592525068368277,"North America"
"Canada","Alpha",24,2516,2021-01-11,18638,18638,0.0095389507154213,"North America"
"Canada","Alpha",48,2401,2021-01-18,18645,18645,0.0199916701374427,"North America"
"Canada","Alpha",51,1731,2021-01-25,18652,18652,0.0294627383015598,"North America"
"Canada","Alpha",66,1509,2021-02-01,18659,18659,0.0437375745526839,"North America"
"Canada","Alpha",217,2196,2021-02-08,18666,18666,0.098816029143898,"North America"
"Canada","Alpha",361,2135,2021-02-15,18673,18673,0.169086651053864,"North America"
"Canada","Alpha",614,2349,2021-02-22,18680,18680,0.261387824606215,"North America"
"Canada","Alpha",777,2647,2021-03-01,18687,18687,0.293539856441254,"North America"
"Canada","Alpha",1404,3724,2021-03-08,18694,18694,0.377013963480129,"North America"
"Canada","Alpha",2007,4164,2021-03-15,18701,18701,0.481988472622478,"North America"
"Canada","Alpha",2961,5940,2021-03-22,18708,18708,0.498484848484848,"North America"
"Canada","Alpha",1834,4506,2021-03-29,18715,18715,0.407012871726587,"North America"
"Canada","Alpha",2496,5733,2021-04-05,18722,18722,0.435374149659864,"North America"
"Canada","Alpha",2999,5676,2021-04-12,18729,18729,0.528365045806906,"North America"
"Canada","Alpha",3082,5458,2021-04-19,18736,18736,0.564675705386589,"North America"
"Canada","Alpha",3450,6214,2021-04-26,18743,18743,0.555197940135179,"North America"
"Canada","Alpha",2923,4817,2021-05-03,18750,18750,0.6068092173552,"North America"
"Canada","Alpha",2382,4112,2021-05-10,18757,18757,0.579280155642023,"North America"
"Canada","Alpha",1898,3424,2021-05-17,18764,18764,0.554322429906542,"North America"
"Canada","Alpha",1571,2685,2021-05-24,18771,18771,0.585102420856611,"North America"
"Canada","Alpha",1157,2122,2021-05-31,18778,18778,0.545240339302545,"North America"
"Canada","Alpha",1246,2308,2021-06-07,18785,18785,0.539861351819757,"North America"
"Canada","Alpha",1035,2172,2021-06-14,18792,18792,0.476519337016575,"North America"
